day,1,2,3,4
Понеделник2:,1) Технологиыи програмування 3. л/р 303-11 ас. Колотий А.В.,2) Технологиыи програмування 3. лекцз. ВФ-1 проф. Шелестов А.Ю.,3) Вы`ща математы`ка 3. пр. 152-16 ас. Медведенко В.И.,4) Ды`ференциал`ни ривняння. пр. 156-16 доцз. Рябов Г.В.
Вторник2:,----,2) Физы`ка 2. л/р 308-4-1  Катасонов А.А.,3) Кибернеты`чна безпека 1. лекцз. ВФ-1 доцз. Демчы`нс`кы`й В.В.,4) Кибернеты`чна безпека 1. л/р 156-16 Демчы`нс`кы`й
Среда2:,1) Ды`ференциал`ни ривняння. лекцз. 112-7 доцз. Рябов Г.В.,2) Енглиш  112-7 вы`кл. Пры`ход`ко Д.С.,3) Архитектура компьютерны`х сы`стем. лекция ВФ-1  доцз. Ковгар В.Б.,----
Четвер2:,1) Вы`ща математы`ка 3. лекцз. 114-7 доцз. Галы`цз`ка И.Ые.,2) Физы`ка 2. лекцз. ВФ-1 доцз. Иванова В.В.,----,----
Пятныцза2:,1) Архитектура комп. сы`стем. л/р 308-3-1 Ковгар,2) Ды`скретна математы`ка 2. лекцз. 114-7 доцз. Шумс`ка А.А.,3) ФВ,----
